,Time,Position,Velocity,Voltage,Force
157,2.698097,-0.0012044137931034,-0.00183913568907,0.0,-15.241
158,2.714767,-0.0012350344827586,-0.001532613074225,0.0,-15.0457
159,2.731396,-0.001255448275862,-0.0014865422725414,0.0,-14.964
160,2.749098,-0.0012860689655172,-0.0018102683804417,0.0,-14.9004
161,2.765226,-0.0013166896551724,-0.0013760490228192,0.0,-14.6143
162,2.797312,-0.0013524137931034,-0.0013569114326135,0.0,-14.4871
164,2.815125,-0.0014085517241379,-0.0018989846748778,0.0,-14.5326
166,2.850055,-0.0014748965517241,-0.003568391242975,0.0,-14.3419
167,2.864789,-0.0015055172413793,-0.0021125562039868,0.0,-14.5235
168,2.88146,-0.0015412413793103,-0.0013846069702439,0.0,-14.3009
169,2.912705,-0.0015718620689655,-0.0014155979172169,0.0,-14.4191
171,2.928327,-0.0016331034482758,-0.0031938137841118,0.0,-14.2509
172,2.947502,-0.0016688275862068,-0.0018530521907719,0.0,-14.1556
173,2.96413,-0.001699448275862,-0.0019949131787655,0.0,-14.2056
174,2.980759,-0.0017351724137931,-0.0019948531958087,0.0,-13.7379
175,2.997388,-0.0017657931034482,-0.0021483034416401,0.0,-14.192
176,3.014017,-0.0018066206896551,-0.0022289044733711,0.0,-13.9694
177,3.031733,-0.0018423448275862,-0.0021398746851378,0.0,-13.8467
178,3.047406,-0.0018780689655172,-0.0014847937627196,0.0,-13.9058
180,3.081869,-0.0019495172413793,-0.0022671244487926,0.0,-13.9739
182,3.114123,-0.0020158620689655,-0.0024156905630966,0.0,-13.8604
184,3.147421,-0.0020924137931034,-0.0036825844443983,0.0,-13.7604
185,3.164051,-0.0021332413793103,-0.0018215397070356,0.0,-13.7968
187,3.197852,-0.0022097931034482,-0.0041136425834702,0.0,-13.6424
188,3.21398,-0.0022506206896551,-0.002418337699209,0.0,-13.8514
189,3.231617,-0.002291448275862,-0.0016612111407778,0.0,-13.8559
191,3.264139,-0.0023628965517241,-0.0042966068832803,0.0,-13.5697
192,3.279763,-0.002403724137931,-0.0018390068258631,0.0,-13.6016
194,3.314091,-0.0024904827586206,-0.0046035073749432,0.0,-13.6061
195,3.33072,-0.0025313103448275,-0.0023770828335068,0.0,-13.656
196,3.348442,-0.0025721379310344,-0.0024527701905557,0.0,-13.6469
197,3.364011,-0.0026129655172413,-0.0018532226997683,0.0,-13.7151
198,3.395257,-0.0026588965517241,-0.0017275367015721,0.0,-13.4245
199,3.414232,-0.002699724137931,-0.0024715443320985,0.0,-13.706
200,3.43036,-0.0027456551724137,-0.0027667631156411,0.0,-13.2427
202,3.448439,-0.0028273103448275,-0.0047659588171243,0.0,-13.5244
203,3.464567,-0.0028732413793103,-0.0019631826458005,0.0,-13.5108
204,3.497831,-0.0029242758620689,-0.0020457982345314,0.0,-13.6107
205,3.514459,-0.0029753103448275,-0.0038721155355554,0.0,-13.3836
206,3.532099,-0.0030569655172413,-0.0038356794906217,0.0,-13.3972
207,3.547722,-0.0031028965517241,-0.0025320218429654,0.0,-13.6969
208,3.564348,-0.0031386206896551,-0.002383118503788,0.0,-13.5198
209,3.581986,-0.0031845517241379,-0.002689800567039,0.0,-13.4925
210,3.5985,-0.0032304827586206,-0.002857562726398,0.0,-13.1655
211,3.614133,-0.0032764137931034,-0.0029120522926716,0.0,-13.538
212,3.631798,-0.003327448275862,-0.0030205067920585,0.0,-13.5153
213,3.647925,-0.0033784827586206,-0.0032147705674721,0.0,-13.5561
214,3.663548,-0.0034295172413793,-0.0028659194077371,0.0,-13.4109
215,3.681759,-0.003475448275862,-0.002743323636094,0.0,-13.2019
216,3.698894,-0.0035264827586206,-0.0026653954128926,0.0,-13.4109
217,3.714309,-0.0035622068965517,-0.0026249923055173,0.0,-13.3836
218,3.731945,-0.0036132413793103,-0.0029749909795459,0.0,-13.4698
219,3.748618,-0.0036642758620689,-0.0031883599012039,0.0,-13.2291
220,3.763958,-0.0037153103448275,-0.0029786373337975,0.0,-13.2791
221,3.782885,-0.0037663448275862,-0.003092731186134,0.0,-13.5017
222,3.798611,-0.0038224827586206,-0.0034173787121936,0.0,-13.429
223,3.814246,-0.0038735172413793,-0.002938833865427,0.0,-13.5607
224,3.829869,-0.0039143448275862,-0.002940056615955,0.0,-13.429
225,3.845491,-0.0039653793103448,-0.0032669386908184,0.0,-13.3881
226,3.861112,-0.0040164137931034,-0.0034303954226074,0.0,-13.4109
227,3.876733,-0.0040725517241379,-0.0031035917562775,0.0,-13.3609
228,3.892355,-0.0041133793103448,-0.0029402448217366,0.0,-13.4834
229,3.907976,-0.0041644137931034,-0.0031036910966448,0.0,-13.3063
230,3.923597,-0.0042103448275862,-0.0031035917562775,0.0,-13.5289
231,3.939219,-0.0042613793103448,-0.0033915797836043,0.0,-13.5516
232,3.964225,-0.0043481379310344,-0.0030145891858402,0.0,-13.261
233,3.979849,-0.0043838620689655,-0.002286783890093,0.0,-13.1883
235,4.011091,-0.0044961379310344,-0.006533668257409,0.0,-13.5607
236,4.026713,-0.0045573793103448,-0.0024452107573412,0.0,-13.379
238,4.064275,-0.0046696551724137,-0.0035123525642546,0.0,-13.2246
239,4.096688,-0.0047411034482758,-0.0026510889926757,0.0,-13.4017
241,4.11483,-0.0048431724137931,-0.0056254941312413,0.0,-13.3246
242,4.13247,-0.0049044137931034,-0.0034670164917541,0.0,-13.2791
243,4.148686,-0.0049605517241379,-0.0037037520618713,0.0,-13.3563
244,4.164162,-0.0050217931034482,-0.003574677755682,0.0,-13.3063
245,4.18295,-0.0050830344827586,-0.0025016903313049,0.0,-13.3745
246,4.213122,-0.0051442758620689,-0.0026050738801005,0.0,-13.3926
248,4.232986,-0.005251448275862,-0.0038665866821813,0.0,-13.4245
249,4.264284,-0.0053382068965517,-0.0027624686189164,0.0,-13.4334
250,4.281019,-0.0053841379310344,-0.0032579612926981,0.0,-13.5017
252,4.298746,-0.0055015172413793,-0.0071750934348778,0.0,-13.4381
253,4.314394,-0.0055627586206896,-0.0037205822610682,0.0,-13.4972
254,4.333038,-0.0056291034482758,-0.0037147326296089,0.0,-13.3154
255,4.34874,-0.0056903448275862,-0.0039096896903948,0.0,-13.3563
256,4.364366,-0.0057515862068965,-0.0035737390546696,0.0,-13.4109
257,4.383013,-0.0058128275862068,-0.0037228620961323,0.0,-13.4834
258,4.398637,-0.0058791724137931,-0.0028009552946279,0.0,-13.3473
260,4.433408,-0.005991448275862,-0.0061399902695486,0.0,-13.4198
261,4.448672,-0.0060577931034482,-0.0043057291486002,0.0,-13.3063
262,4.464225,-0.0061241379310344,-0.0038798144787255,0.0,-13.3199
263,4.482872,-0.0061904827586206,-0.0038476383219977,0.0,-13.5561
264,4.498711,-0.0062568275862068,-0.0042337403137237,0.0,-13.3563
265,4.514213,-0.0063231724137931,-0.0040194009523445,0.0,-13.2246
266,4.532993,-0.0063946206896551,-0.0039943503333123,0.0,-13.2791
267,4.54871,-0.0064609655172413,-0.0027953496075759,0.0,-13.2563
269,4.582982,-0.0065783448275862,-0.0039154196102691,0.0,-13.3473
271,4.61435,-0.0067161379310344,-0.0078409038231027,0.0,-13.2519
272,4.629971,-0.0067824827586206,-0.0029402761917095,0.0,-13.4153
274,4.661214,-0.0069100689655172,-0.0062452057044769,0.0,-13.488
275,4.684095,-0.0069968275862068,-0.0036656851143462,0.0,-13.1519
276,4.698804,-0.0070478620689655,-0.002998566001094,0.0,-13.3199
278,4.730048,-0.0071907586206896,-0.0067735297779013,0.0,-13.5108
279,4.748884,-0.0072622068965517,-0.004143250071737,0.0,-13.4426
280,4.764537,-0.0073336551724137,-0.0041664446372609,0.0,-13.5925
281,4.783181,-0.0074051034482758,-0.0041700922673166,0.0,-13.5925
282,4.798804,-0.0074765517241379,-0.004661270511165,0.0,-13.6061
283,4.814932,-0.0075531034482758,-0.0041953680868553,0.0,-13.4744
284,4.834081,-0.0076245517241379,-0.0037647154587355,0.0,-13.488
285,4.848822,-0.0076806896551724,-0.0031833433709025,0.0,-13.4744
286,4.880573,-0.0077725517241379,-0.0035026370180826,0.0,-13.4789
288,4.898918,-0.0079256551724137,-0.0043182680243924,0.0,-13.488
290,4.934196,-0.0080583448275862,-0.0074843282290265,0.0,-13.8104
291,4.948906,-0.0081297931034482,-0.0049647658173637,0.0,-13.7468
292,4.965034,-0.008211448275862,-0.0044847038169834,0.0,-13.774
293,4.984183,-0.0082879999999999,-0.0045175252508294,0.0,-13.5061
294,4.998925,-0.0083645517241379,-0.0048740326033262,0.0,-13.815
295,5.014548,-0.0084359999999999,-0.0042467484452684,0.0,-13.6107
296,5.03017,-0.0084972413793103,-0.0039985230680559,0.0,-13.5198
297,5.049009,-0.0085737931034482,-0.0035686310441965,0.0,-13.3609
