,Time,Position,Velocity,Voltage,Force
184,2.890568,-0.0143253793103448,-0.0258096417510471,0.3,-57.3124
185,2.906189,-0.0145550344827586,-0.0098011297788785,0.3,-58.0891
187,2.937431,-0.0149531034482758,-0.0254813062038945,0.3,-58.1845
188,2.953053,-0.0151827586206896,-0.0099098197572433,0.3,-58.7794
190,2.984295,-0.0155910344827586,-0.0225411554880604,0.3,-59.2289
191,2.999917,-0.0157696551724137,-0.0133944486323557,0.3,-59.0837
192,3.015538,-0.0160095172413793,-0.015355103320243,0.3,-59.2563
193,3.031159,-0.0162493793103448,-0.0155179587813875,0.3,-58.4933
194,3.046781,-0.0164943448275862,-0.0135577955668966,0.3,-58.4752
195,3.062402,-0.0166729655172413,-0.0135582295274487,0.3,-58.6931
196,3.078023,-0.0169179310344827,-0.0156813057159287,0.3,-58.7022
197,3.093645,-0.0171628965517241,-0.0138844894359785,0.3,-59.5423
198,3.109266,-0.017351724137931,-0.013884933853411,0.3,-58.9019
199,3.124887,-0.0175966896551724,-0.0105632144665119,0.3,-59.2835
201,3.15613,-0.0180355862068965,-0.0163346934540923,0.3,-59.9511
202,3.187373,-0.0183571034482758,-0.0108896794534559,0.3,-59.6059
203,3.202995,-0.0185459310344827,-0.0186221465798693,0.3,-59.9601
204,3.218615,-0.0189388965517241,-0.0209090768616076,0.3,-60.0328
205,3.234237,-0.0191991724137931,-0.016661387323174,0.3,-60.2781
206,3.249858,-0.019459448275862,-0.0168247342577149,0.3,-61.1454
207,3.26548,-0.0197248275862068,-0.0114344074122037,0.3,-61.3635
209,3.296722,-0.0201892413793103,-0.0293996252209938,0.3,-61.6087
210,3.312345,-0.0204546206896551,-0.0114344074122037,0.3,-61.477
212,3.343586,-0.0209343448275862,-0.0310369109664489,0.3,-61.9265
213,3.359207,-0.0212099310344827,-0.0117608538097322,0.3,-61.8266
214,3.390451,-0.0214855172413793,-0.0162256223856492,0.3,-61.5814
215,3.406072,-0.0219703448275862,-0.0223799626706284,0.3,-61.9538
216,3.421692,-0.0221846896551724,-0.0158451598091868,0.3,-61.5859
217,3.437314,-0.0224653793103448,-0.0181315097340425,0.3,-61.7813
218,3.452935,-0.0227511724137931,-0.015845159809187,0.3,-61.2272
219,3.468556,-0.0229604137931034,-0.015845159809187,0.3,-61.645
220,3.484177,-0.0232462068965517,-0.0160079995850105,0.3,-61.7585
221,3.499799,-0.0234605517241379,-0.0161713465195511,0.3,-62.2082
222,3.51542,-0.023751448275862,-0.0187854987428504,0.3,-62.5442
223,3.531041,-0.024047448275862,-0.0125233985943184,0.3,-61.9312
225,3.562284,-0.0245577931034482,-0.0333238412481873,0.3,-61.9084
226,3.577905,-0.0248588965517241,-0.0127409249605434,0.3,-62.131
228,3.609149,-0.0253845517241379,-0.0336505455741498,0.3,-62.5306
229,3.62477,-0.0256805517241379,-0.0127414687125421,0.3,-62.6623
231,3.656012,-0.0262113103448275,-0.0343039542260751,0.3,-63.7431
232,3.671633,-0.0265175172413793,-0.0132856924217987,0.3,-62.9211
234,3.702876,-0.0270584827586206,-0.0343017583513964,0.3,-62.6896
235,3.718498,-0.0273697931034482,-0.0176414689304196,0.3,-62.8984
236,3.734119,-0.0276096551724137,-0.0178053857649626,0.3,-63.4071
237,3.74974,-0.0279260689655172,-0.0200923160467013,0.3,-62.6896
238,3.765361,-0.0282373793103448,-0.0174786814390002,0.3,-62.6124
239,3.780982,-0.0284721379310344,-0.0176414689304196,0.3,-64.4743
240,3.796604,-0.0287885517241379,-0.0205803963116855,0.3,-64.5289
241,3.812227,-0.0291151724137931,-0.0138301880128559,0.3,-63.6886
243,3.843468,-0.0296816551724137,-0.0365885422414895,0.3,-63.3435
244,3.85909,-0.0300082758620689,-0.0184587944168881,0.3,-63.9838
245,3.87471,-0.0302583448275862,-0.018458794416888,0.3,-63.6115
246,3.890332,-0.0305849655172413,-0.0209084076212382,0.3,-64.5152
247,3.905953,-0.0309115862068965,-0.0182948566685835,0.3,-64.5061
248,3.921575,-0.0311565517241379,-0.0186215505376651,0.3,-65.6142
249,3.937196,-0.0314933793103448,-0.0215624855135326,0.3,-65.6551
250,3.952817,-0.0318302068965517,-0.0189488509058321,0.3,-64.5289
251,3.968438,-0.0320853793103448,-0.0189482444067472,0.3,-64.0837
252,3.98406,-0.0324222068965517,-0.014592481840336,0.3,-65.3825
253,4.015302,-0.0327692413793103,-0.0147013809585476,0.3,-66.032
255,4.030924,-0.0333663448275862,-0.019112203068813,0.3,-65.9729
257,4.062166,-0.0339685517241379,-0.0388778147895528,0.3,-65.3961
