Time,Position,Velocity,Voltage,Force
374,6.033442,-0.0557092413793103,-0.0131963243550356,0.3,-47.2761
375,6.050071,-0.0558980689655172,-0.0137665881185664,0.3,-47.1352
376,6.065694,-0.0561532413793103,-0.0172107496581421,0.3,-47.6756
377,6.083282,-0.0564696551724137,-0.0113355496582357,0.3,-47.1307
379,6.115668,-0.0568983448275862,-0.0245667424167585,0.3,-46.8991
380,6.133118,-0.0571484137931034,-0.014376754342472,0.3,-46.8264
381,6.149746,-0.0573882758620689,-0.0150324812788936,0.3,-47.5803
382,6.16537,-0.0576332413793103,-0.0143989660600188,0.3,-46.999
383,6.183417,-0.0578731034482758,-0.013810177560844,0.3,-47.1715
384,6.200107,-0.0581129655172413,-0.014159750877269,0.3,-46.3814
385,6.216936,-0.058347724137931,-0.0141859906642908,0.3,-47.1352
386,6.233564,-0.0585875862068965,-0.0141174226164925,0.3,-46.6629
387,6.250194,-0.0588172413793103,-0.009499545759766,0.3,-47.2397
389,6.283457,-0.0592306206896551,-0.0225611519789871,0.3,-46.1816
390,6.300096,-0.0594500689655172,-0.0137614678899082,0.3,-46.5175
391,6.315721,-0.0596746206896551,-0.0135652112325449,0.3,-47.3123
392,6.333203,-0.0598991724137931,-0.0131659420209276,0.3,-45.7319
393,6.349832,-0.060123724137931,-0.013364185337773,0.3,-45.7863
394,6.366808,-0.0603482758620689,-0.0133645830340395,0.3,-46.3676
395,6.383436,-0.0605728275862068,-0.0131571602531369,0.3,-46.3995
396,6.400166,-0.0607871724137931,-0.0130030006129395,0.3,-46.2815
397,6.416797,-0.0610066206896551,-0.0112008575850971,0.3,-46.2587
398,6.433427,-0.061159724137931,-0.0110474211798221,0.3,-45.5093
399,6.450058,-0.0613740689655172,-0.0132906419213274,0.3,-46.1406
400,6.465682,-0.0615884137931034,-0.0128421721712511,0.3,-46.5494
401,6.483042,-0.0617976551724137,-0.0122377692894107,0.3,-45.8954
402,6.499878,-0.0620068965517241,-0.0121797041278296,0.3,-45.028
403,6.516563,-0.0622059310344827,-0.0118787552002997,0.3,-45.7638
404,6.533389,-0.0624049655172413,-0.0106527919877839,0.3,-45.2051
405,6.550098,-0.0625631724137931,-0.010869149221172,0.3,-45.6728
406,6.566726,-0.0627673103448275,-0.0134349481954011,0.3,-45.3505
407,6.583526,-0.0630122758620689,-0.0119057564084713,0.3,-45.3822
408,6.600161,-0.0631653793103448,-0.0104330482144912,0.3,-45.6456
409,6.616789,-0.0633593103448275,-0.0116618680346827,0.3,-45.2051
410,6.63342,-0.0635532413793103,-0.0116608162156668,0.3,-44.9599
411,6.650051,-0.0637471724137931,-0.0115077303956486,0.3,-44.7964
412,6.666681,-0.063936,-0.0113553181915267,0.3,-45.4821
413,6.683309,-0.0641248275862069,-0.0115512750879916,0.3,-44.7828
414,6.698933,-0.0643085517241379,-0.0112227896173616,0.3,-44.8281
415,6.716505,-0.0644973793103448,-0.0095283027408962,0.3,-44.969
416,6.733212,-0.0646351724137931,-0.0094330797216541,0.3,-44.1061
417,6.750048,-0.0648137931034482,-0.011005926840332,0.3,-44.4785
418,6.765671,-0.0649924137931034,-0.0107386112156292,0.3,-44.6193
419,6.783315,-0.0651710344827586,-0.010422797354058,0.3,-44.3059
420,6.799946,-0.0653496551724137,-0.0104324209456972,0.3,-44.206
421,6.81658,-0.0655180689655172,-0.0103419502550552,0.3,-43.9198
422,6.833502,-0.0656966896551724,-0.0104799836622269,0.3,-44.5421
423,6.850181,-0.0658702068965517,-0.0101980683731324,0.3,-43.4976
424,6.867031,-0.0660386206896551,-0.0096182590951038,0.3,-43.8018
425,6.88467,-0.0662019310344827,-0.0097749922775529,0.3,-43.3341
426,6.900967,-0.0663703448275862,-0.0091127295195833,0.3,-42.9935
427,6.916592,-0.0664928275862068,-0.0088618016573106,0.3,-43.4884
428,6.933217,-0.0666561379310344,-0.0096349188306654,0.3,-44.0334
429,6.949962,-0.0668143448275862,-0.0097866809389098,0.3,-43.4204
430,6.966591,-0.0669827586206896,-0.0096545925583838,0.3,-43.6202
431,6.983264,-0.0671358620689655,-0.0091942978786849,0.3,-42.8436
432,6.999895,-0.0672889655172413,-0.0094933156580913,0.3,-43.3976
433,7.015519,-0.0674420689655172,-0.0091885040225575,0.3,-43.2114
434,7.03322,-0.0675951724137931,-0.0076984019013928,0.3,-43.1978
435,7.049991,-0.067707448275862,-0.0089667495019612,0.3,-43.2478
436,7.0668,-0.0678962758620689,-0.0067609118094578,0.3,-43.1614
438,7.100061,-0.0681463448275862,-0.0143726717242927,0.3,-42.4167
439,7.11681,-0.0682943448275862,-0.0087011411738496,0.3,-43.0162
440,7.133493,-0.0684372413793103,-0.0084265882669593,0.3,-42.2895
