Epochs = 112000 of 200000, Loss = 904.1089, params = (12.046366691589355, 15.031415939331055, -5.047385215759277)
Epochs = 113000 of 200000, Loss = 904.1089, params = (12.046369552612305, 15.031416893005371, -5.04738187789917)
Epochs = 114000 of 200000, Loss = 904.1089, params = (12.046371459960938, 15.03141975402832, -5.0473809242248535)
Epochs = 115000 of 200000, Loss = 904.1088, params = (12.046371459960938, 15.031417846679688, -5.047382831573486)
Epochs = 116000 of 200000, Loss = 904.1088, params = (12.046378135681152, 15.031423568725586, -5.0473833084106445)
Epochs = 117000 of 200000, Loss = 904.1089, params = (12.04637336730957, 15.031420707702637, -5.04738187789917)
Epochs = 118000 of 200000, Loss = 904.1089, params = (12.046374320983887, 15.03141975402832, -5.047382354736328)
Epochs = 119000 of 200000, Loss = 904.1089, params = (12.046371459960938, 15.031417846679688, -5.047385215759277)
Epochs = 120000 of 200000, Loss = 904.1088, params = (12.046374320983887, 15.03141975402832, -5.047381401062012)
Epochs = 121000 of 200000, Loss = 904.1087, params = (12.046374320983887, 15.031421661376953, -5.047386646270752)
Epochs = 122000 of 200000, Loss = 904.1088, params = (12.046374320983887, 15.03141975402832, -5.047374725341797)
Epochs = 123000 of 200000, Loss = 904.1089, params = (12.046372413635254, 15.03141975402832, -5.047388076782227)
Epochs = 124000 of 200000, Loss = 904.1088, params = (12.046378135681152, 15.031425476074219, -5.04739236831665)
Epochs = 125000 of 200000, Loss = 904.1088, params = (12.046368598937988, 15.031415939331055, -5.0473785400390625)
Epochs = 126000 of 200000, Loss = 904.1088, params = (12.04637336730957, 15.03141975402832, -5.047387599945068)
Epochs = 127000 of 200000, Loss = 904.1087, params = (12.046370506286621, 15.031416893005371, -5.047386169433594)
Epochs = 128000 of 200000, Loss = 904.1087, params = (12.04637336730957, 15.031420707702637, -5.047378063201904)
Epochs = 129000 of 200000, Loss = 904.1089, params = (12.046369552612305, 15.031416893005371, -5.047382354736328)
Epochs = 130000 of 200000, Loss = 904.1087, params = (12.04637336730957, 15.031421661376953, -5.047384262084961)
Epochs = 131000 of 200000, Loss = 904.1087, params = (12.046369552612305, 15.031415939331055, -5.047381401062012)
Epochs = 132000 of 200000, Loss = 904.1089, params = (12.046382904052734, 15.031429290771484, -5.047384262084961)
Epochs = 133000 of 200000, Loss = 904.1087, params = (12.046369552612305, 15.031417846679688, -5.047385215759277)
Epochs = 134000 of 200000, Loss = 904.1088, params = (12.046372413635254, 15.03141975402832, -5.047384738922119)
Epochs = 135000 of 200000, Loss = 904.1089, params = (12.046371459960938, 15.031417846679688, -5.047384738922119)
Epochs = 136000 of 200000, Loss = 904.1089, params = (12.046370506286621, 15.031417846679688, -5.0473785400390625)
Epochs = 137000 of 200000, Loss = 904.1088, params = (12.046369552612305, 15.031416893005371, -5.04738187789917)
Epochs = 138000 of 200000, Loss = 904.1087, params = (12.04637622833252, 15.03142261505127, -5.0473809242248535)
Epochs = 139000 of 200000, Loss = 904.1088, params = (12.046374320983887, 15.031420707702637, -5.047382354736328)
Epochs = 140000 of 200000, Loss = 904.1088, params = (12.046372413635254, 15.03141975402832, -5.047379493713379)
Epochs = 141000 of 200000, Loss = 904.1088, params = (12.046380996704102, 15.031427383422852, -5.04738712310791)
Epochs = 142000 of 200000, Loss = 904.1088, params = (12.046368598937988, 15.031416893005371, -5.047380447387695)
Epochs = 143000 of 200000, Loss = 904.1089, params = (12.046368598937988, 15.031414985656738, -5.047387599945068)
Epochs = 144000 of 200000, Loss = 904.1087, params = (12.046370506286621, 15.031415939331055, -5.04738187789917)
Epochs = 145000 of 200000, Loss = 904.1088, params = (12.046372413635254, 15.031418800354004, -5.04738712310791)
Epochs = 146000 of 200000, Loss = 904.1088, params = (12.046368598937988, 15.031414985656738, -5.047381401062012)
Epochs = 147000 of 200000, Loss = 904.1087, params = (12.046370506286621, 15.031416893005371, -5.047386169433594)
Epochs = 148000 of 200000, Loss = 904.1089, params = (12.046374320983887, 15.031418800354004, -5.0473856925964355)
Epochs = 149000 of 200000, Loss = 904.1089, params = (12.046374320983887, 15.031418800354004, -5.047383785247803)
Epochs = 150000 of 200000, Loss = 904.1088, params = (12.046368598937988, 15.031416893005371, -5.047383785247803)
Epochs = 151000 of 200000, Loss = 904.1089, params = (12.046369552612305, 15.031415939331055, -5.0473809242248535)
Epochs = 152000 of 200000, Loss = 904.1087, params = (12.046369552612305, 15.031415939331055, -5.047382831573486)
Epochs = 153000 of 200000, Loss = 904.1088, params = (12.04637622833252, 15.03142261505127, -5.04738712310791)
Epochs = 154000 of 200000, Loss = 904.1089, params = (12.046372413635254, 15.03141975402832, -5.0473809242248535)
Epochs = 155000 of 200000, Loss = 904.1087, params = (12.046375274658203, 15.03142261505127, -5.047385215759277)
Epochs = 156000 of 200000, Loss = 904.1087, params = (12.046377182006836, 15.031425476074219, -5.047384262084961)
Epochs = 157000 of 200000, Loss = 904.1089, params = (12.046378135681152, 15.031423568725586, -5.047384738922119)
Epochs = 158000 of 200000, Loss = 904.1087, params = (12.046375274658203, 15.031421661376953, -5.04738712310791)
Epochs = 159000 of 200000, Loss = 904.1088, params = (12.046375274658203, 15.031420707702637, -5.04738712310791)
Epochs = 160000 of 200000, Loss = 904.1089, params = (12.046380043029785, 15.031425476074219, -5.047388553619385)
Epochs = 161000 of 200000, Loss = 904.1087, params = (12.046375274658203, 15.031421661376953, -5.047388076782227)
Epochs = 162000 of 200000, Loss = 904.1089, params = (12.046372413635254, 15.03141975402832, -5.047386646270752)
Epochs = 163000 of 200000, Loss = 904.1089, params = (12.046370506286621, 15.031418800354004, -5.047382831573486)
Epochs = 164000 of 200000, Loss = 904.1088, params = (12.046372413635254, 15.03141975402832, -5.0473785400390625)
Epochs = 165000 of 200000, Loss = 904.1088, params = (12.046371459960938, 15.031417846679688, -5.047383785247803)
Epochs = 166000 of 200000, Loss = 904.1088, params = (12.046369552612305, 15.031416893005371, -5.0473833084106445)
Epochs = 167000 of 200000, Loss = 904.1089, params = (12.046370506286621, 15.031415939331055, -5.047389030456543)
Epochs = 168000 of 200000, Loss = 904.1089, params = (12.046379089355469, 15.031425476074219, -5.047379016876221)
Epochs = 169000 of 200000, Loss = 904.1089, params = (12.046375274658203, 15.03142261505127, -5.047384262084961)
Epochs = 170000 of 200000, Loss = 904.1087, params = (12.046375274658203, 15.031420707702637, -5.0473833084106445)
